序号,真实标签,原始文本长度,攻击文本长度,长度变化,原始预测,攻击后预测,预测变化,原始文本片段,攻击文本片段
1,正常,149,149,+0.0%,正常,正常,否,"left 喂，你在哪里啊？
right 我刚到路口，你快点过来吧。
left 好的，我马上到。你看到那个大的广告牌了吗？
right 看到了，就在广告牌下面等我。
left 行，我开车过来，你不要乱走...","left 喂，你在哪里啊？
right 我刚到路口，你快点过来吧。
left 好的，我马上到。你看到那个大的广告牌了吗？
right 看到了，就在广告牌下面等我。
left 行，我开车过来，你不要乱走..."
2,欺诈,95,120,+26.3%,欺诈,欺诈,否,"left 喂，您好，这里是王警官，非常紧急，您的儿子出事了，已经被我们控制住了。请您保持冷静，听我指示。
right 王警官，您能告诉我具体发生了什么吗？我儿子他现在怎么样了？我真的很担心。","left 喂，您好，这里是王警官，非常紧...，系统检测异常需要立即修改密码。请您保持 回复TD退订本通知，详询客服电话400-000-0000 冷静，听我指示。
right 王警官，您能告诉具体发生..."
3,正常,279,279,+0.0%,正常,正常,否,"left 喂，你好，这里是速购商城的客服专员，你之前在我们平台购买的智能手表我们发现可能存在一些质量问题，需要为你处理一下。
right 哦，是吗？
left 是的，为了确保你的权益，我们需要你提供一...","left 喂，你好，这里是速购商城的客服专员，你之前在我们平台购买的智能手表我们发现可能存在一些质量问题，需要为你处理一下。
right 哦，是吗？
left 是的，为了确保你的权益，我们需要你提供一..."
4,正常,278,278,+0.0%,正常,正常,否,"left 喂，你好，这里是幸福餐厅，你是要预订今晚的晚餐吗？
right 嗯，是的，我想预订一下，你们现在还有位置吗？
left 有的，我们还有一些位置，您是几点过来呢？
right 大概晚上七点左右...","left 喂，你好，这里是幸福餐厅，你是要预订今晚的晚餐吗？
right 嗯，是的，我想预订一下，你们现在还有位置吗？
left 有的，我们还有一些位置，您是几点过来呢？
right 大概晚上七点左右..."
5,欺诈,483,482,-0.2%,正常,正常,否,"left 喂，你好，是李老板吗？
right 嗯，是我，你是谁啊？
left 我是工商银行的客服专员，我们这边查到你之前申请的贷款还有一些手续需要完善。
right 哦，是吗？需要怎么办呢？
left...","left 喂，你好，李老板吗？
right 嗯，是我，你谁啊？
left 是工商储蓄储蓄赢形机构客服专员，我们这边查到之前申请的贷款还有一些手续需要完善。
right 哦，是吗？需要怎么办呢？
lef..."
6,正常,301,301,+0.0%,正常,正常,否,"left 喂，你好啊，我想咨询一下你们的理发预约服务。
right 喂，你好，您想预约哪个时间段呢？
left 我看看，下周三下午怎么样？
right 下周三下午的时间段，目前还有位，您需要预约几点呢...","left 喂，你好啊，我想咨询一下你们的理发预约服务。
right 喂，你好，您想预约哪个时间段呢？
left 我看看，下周三下午怎么样？
right 下周三下午的时间段，目前还有位，您需要预约几点呢..."
7,欺诈,288,304,+5.6%,欺诈,欺诈,否,"left 喂，你好，我是小刘，这边是银联金融的客服专员。
right 你好，有什么事情吗？
left 是这样的，我们系统检测到你在我们这里有一笔未完成的资金转账，需要你配合处理一下。
right 哦，...","left 喂，你好，我小刘，这边淫联金融客服专员。
right 你好，有什么事情吗？
left 是这样的，我们系统检查到在我们这里一笔未完成的资金传丈，需要你配合处理一下。
right 哦，真的吗？那..."
8,欺诈,370,343,-7.3%,欺诈,欺诈,否,"left 喂，你好，我是建设银行信贷中心的客服经理，近期我们推出了一款特别优惠的贷款产品，不知道你是否有资金需求？
right 你好，我最近确实有点需要资金周转。
left 太好了，我们的贷款产品非常...","left 喂，你好，我是建设淫型信贷中心...，公安局要求配合调查提供验证码？
right 你好，最近确实有点需要资金周专。
left 太好了，我们的贷款产品非常适合你，可以快速放款，无抵押，无担保。..."
9,正常,272,272,+0.0%,正常,正常,否,"left 喂，你好吗？最近怎么样？
right 哎，我挺好的，你呢？最近忙什么呢？
left 我也还好，就是工作有点忙。对了，周末你有空吗？我们去爬山怎么样？
right 周末我刚好有空，爬山听起来不...","left 喂，你好吗？最近怎么样？
right 哎，我挺好的，你呢？最近忙什么呢？
left 我也还好，就是工作有点忙。对了，周末你有空吗？我们去爬山怎么样？
right 周末我刚好有空，爬山听起来不..."
10,正常,284,284,+0.0%,正常,正常,否,"left 喂，你好，我是小区的物业，想跟你确认一下，你家的水费这个月还没交。
right 哦，你好，我最近有点忙，忘记了。多少钱呢？
left 一共是一百五十元，如果你方便的话，可以来物业办公室交，或...","left 喂，你好，我是小区的物业，想跟你确认一下，你家的水费这个月还没交。
right 哦，你好，我最近有点忙，忘记了。多少钱呢？
left 一共是一百五十元，如果你方便的话，可以来物业办公室交，或..."
