true_label,base_pred,fpp_pred,fpp_confidence,base_correct,fpp_correct,improved,worsened,attack_strategy
0,0,0,1.0,True,True,False,False,insert_delete
0,0,0,1.0,True,True,False,False,insert_delete
0,0,0,1.0,True,True,False,False,insert_delete
0,0,0,1.0,True,True,False,False,insert_delete
0,1,1,1.0,False,False,False,False,insert_delete
1,1,1,1.0,True,True,False,False,insert_delete
1,1,1,1.0,True,True,False,False,insert_delete
1,1,1,1.0,True,True,False,False,insert_delete
1,1,1,1.0,True,True,False,False,insert_delete
1,0,0,0.5529433099509187,False,False,False,False,insert_delete
1,1,1,1.0,True,True,False,False,insert_delete
0,0,0,1.0,True,True,False,False,insert_delete
1,1,1,1.0,True,True,False,False,insert_delete
1,1,1,1.0,True,True,False,False,insert_delete
0,0,0,1.0,True,True,False,False,insert_delete
0,0,0,1.0,True,True,False,False,insert_delete
1,1,1,1.0,True,True,False,False,insert_delete
0,0,0,1.0,True,True,False,False,insert_delete
1,1,1,1.0,True,True,False,False,insert_delete
0,0,0,1.0,True,True,False,False,insert_delete
0,1,1,1.0,False,False,False,False,insert_delete
1,1,1,1.0,True,True,False,False,insert_delete
1,1,1,1.0,True,True,False,False,insert_delete
0,0,0,1.0,True,True,False,False,insert_delete
1,1,1,1.0,True,True,False,False,insert_delete
0,0,0,1.0,True,True,False,False,insert_delete
0,1,1,1.0,False,False,False,False,insert_delete
1,1,1,1.0,True,True,False,False,insert_delete
0,0,0,1.0,True,True,False,False,insert_delete
0,1,1,1.0,False,False,False,False,insert_delete
1,1,1,1.0,True,True,False,False,insert_delete
0,0,0,1.0,True,True,False,False,insert_delete
0,0,0,1.0,True,True,False,False,insert_delete
0,0,0,1.0,True,True,False,False,insert_delete
1,1,1,1.0,True,True,False,False,insert_delete
1,1,1,1.0,True,True,False,False,insert_delete
0,0,0,1.0,True,True,False,False,insert_delete
0,1,1,1.0,False,False,False,False,insert_delete
0,0,0,1.0,True,True,False,False,insert_delete
0,0,0,1.0,True,True,False,False,insert_delete
0,0,0,1.0,True,True,False,False,insert_delete
0,0,0,1.0,True,True,False,False,insert_delete
1,1,1,1.0,True,True,False,False,insert_delete
